series,date,state,sector,value,year
abs,01/01/2015,Johor,Overall GDP,110002.221,2015
abs,01/01/2015,Johor,Agriculture,15610.314,2015
abs,01/01/2015,Johor,Mining & Quarrying,475.64,2015
abs,01/01/2015,Johor,Manufacturing,32358.659,2015
abs,01/01/2015,Johor,Construction,7269.16,2015
abs,01/01/2015,Johor,Services,53058.447,2015
abs,01/01/2015,Johor,Import Duties,1230.001,2015
abs,01/01/2015,Kedah,Overall GDP,39549.581,2015
abs,01/01/2015,Kedah,Agriculture,5423.368,2015
abs,01/01/2015,Kedah,Mining & Quarrying,83.056,2015
abs,01/01/2015,Kedah,Manufacturing,11427.051,2015
abs,01/01/2015,Kedah,Construction,862.638,2015
abs,01/01/2015,Kedah,Services,21465.109,2015
abs,01/01/2015,Kedah,Import Duties,288.359,2015
abs,01/01/2015,Kelantan,Overall GDP,21407.736,2015
abs,01/01/2015,Kelantan,Agriculture,5101.864,2015
abs,01/01/2015,Kelantan,Mining & Quarrying,229.021,2015
abs,01/01/2015,Kelantan,Manufacturing,1147.468,2015
abs,01/01/2015,Kelantan,Construction,444.65,2015
abs,01/01/2015,Kelantan,Services,14454.747,2015
abs,01/01/2015,Kelantan,Import Duties,29.985,2015
abs,01/01/2015,Melaka,Overall GDP,36077.257,2015
abs,01/01/2015,Melaka,Agriculture,4141.42,2015
abs,01/01/2015,Melaka,Mining & Quarrying,43.988,2015
abs,01/01/2015,Melaka,Manufacturing,14068.303,2015
abs,01/01/2015,Melaka,Construction,947.012,2015
abs,01/01/2015,Melaka,Services,16810.973,2015
abs,01/01/2015,Melaka,Import Duties,65.56,2015
abs,01/01/2015,Negeri Sembilan,Overall GDP,40185.677,2015
abs,01/01/2015,Negeri Sembilan,Agriculture,3235.335,2015
abs,01/01/2015,Negeri Sembilan,Mining & Quarrying,165.377,2015
abs,01/01/2015,Negeri Sembilan,Manufacturing,15678.075,2015
abs,01/01/2015,Negeri Sembilan,Construction,1339.339,2015
abs,01/01/2015,Negeri Sembilan,Services,18950.586,2015
abs,01/01/2015,Negeri Sembilan,Import Duties,816.964,2015
abs,01/01/2015,Pahang,Overall GDP,49449.712,2015
abs,01/01/2015,Pahang,Agriculture,11665.23,2015
abs,01/01/2015,Pahang,Mining & Quarrying,1311.294,2015
abs,01/01/2015,Pahang,Manufacturing,10416.952,2015
abs,01/01/2015,Pahang,Construction,2105.062,2015
abs,01/01/2015,Pahang,Services,23884.728,2015
abs,01/01/2015,Pahang,Import Duties,66.445,2015
abs,01/01/2015,Perak,Overall GDP,63175.555,2015
abs,01/01/2015,Perak,Agriculture,10351.594,2015
